Sıra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
304	53			0	0	0	0	0	0	0		35
305	9			-1	-1	1	4	263	100	0		35.2
306	9	Re5	D5	327	327	1	8	132	95	96	gö	35.3
307	9	Mi5	E5	336	336	1	4	263	95	96	ren 	35.5
308	9	Mi5	E5	336	336	1	4	263	95	96	o 	35.7
309	9	La5	A5	358	358	1	4	263	99	96	gül 	35.9
310	9	Mi5	E5	336	336	1	8	132	95	96		36
311	9	Mi5	E5	336	336	1	8	132	99	96	ce	36.1
312	9	Re5	D5	327	327	1	8	132	95	96		36.2
313	9	Re5	D5	327	327	1	4	263	99	96	mâ	36.4
314	9	Mi5	E5	336	336	1	8	132	95	96		36.5
315	9	Re5	D5	327	327	1	8	132	99	96	li	36.6
316	10	Do5	C5	318	318	1	8	132	95	96		36.7
317	8	Re5	D5	327	327	0	0	0	95	96		36.7
318	9	Do5	C5	318	318	3	8	395	95	96	ni  	37
319	53			0	0	0	0	0	0	0		37
320	55			0	0	0	0	0	0	0		37
321	9			-1	-1	1	4	263	100	0		37.2
322	54			0	0	0	0	0	0	0	saba@la4	37.2
323	9	Sol4	G4	296	296	1	8	132	95	96	ta	37.3
324	9	Do5	C5	318	318	1	4	263	95	96	sav	37.5
325	9	Do5	C5	318	318	1	4	263	95	96	vur 	37.7
326	9	Do5	C5	318	318	3	8	395	95	96	ey	38
327	9	Do5	C5	318	318	1	4	263	95	96	ler 	38.2
328	9	Do5	C5	318	318	1	4	263	99	96	ha	38.4
329	9	Re5b3	D5b4	324	323	1	8	132	95	96		38.5
330	9	Re5b3	D5b4	324	323	1	8	132	99	96	li	38.6
331	9	Do5	C5	318	318	1	8	132	95	96		38.7
332	9	Do5	C5	318	318	1	8	132	99	96	ni 	38.8
333	9	Si4b2	B4b1	312	313	1	16	66	99	96		38.85
334	9	La4	A4	305	305	1	16	66	99	96		38.9
335	9	Si4b2	B4b1	312	313	1	16	66	99	96		38.95
336	9	Do5	C5	318	318	1	16	66	95	96		39
337	9	Si4b2	B4b1	312	313	1	4	263	99	96	vay  	39.2
338	9	Do5	C5	318	318	1	1	1053	95	96		40
339	53			0	0	0	0	0	0	0		40
340	55			0	0	0	0	0	0	0		40
341	9			-1	-1	1	4	263	100	0		40.2
342	54			0	0	0	0	0	0	0	huseyni@la4	40.2
343	9	Re5	D5	327	327	1	8	132	95	96	Ha	40.3
344	9	Mi5	E5	336	336	1	4	263	95	96	yâl_	40.5
345	9	Mi5	E5	336	336	1	4	263	95	96	i 	40.7
346	9	Mi5	E5	336	336	3	8	395	95	96	lâ	41
347	9	Mi5	E5	336	336	1	4	263	95	96	lin_	41.2
348	9	Mi5	E5	336	336	1	4	263	99	96	ey	41.4
349	9	Fa5	F5	340	340	1	8	132	95	96		41.5
350	9	Sol5	G5	349	349	1	8	132	99	96	le	41.6
351	9	Mi5	E5	336	336	1	8	132	95	96		41.7
352	9	Mi5	E5	336	336	1	4	263	99	96	yen 	41.9
353	9	Re5	D5	327	327	1	8	132	99	96		42
354	9	Re5	D5	327	327	1	4	263	50	96		42.2
355	53			0	0	0	0	0	0	0		42.2
356	9	Re5	D5	327	327	1	8	132	95	96	ha	42.3
357	9	Mi5	E5	336	336	1	4	263	95	96	yâl_	42.5
358	9	Mi5	E5	336	336	1	4	263	95	96	i 	42.7
359	9	Mi5	E5	336	336	3	8	395	95	96	lâ	43
