Sıra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
395	9	Do5	C5	318	318	1	16	200	99	96		18.55556
396	9	Si4b5	B4b5	309	309	1	8	400	99	96		18.61111
397	9	Re5	D5	327	327	1	8	400	95	96		18.66667
398	9	Do5	C5	318	318	1	2	1600	99	96	yâ	18.88889
399	9	Si4b5	B4b5	309	309	1	4	800	99	96		19
400	12	Si4b5	B4b5	309	309	1	8	400	99	96		19.05556
401	9	La4b5	A4b5	300	300	1	4	800	99	96		19.16667
402	9	Sol4	G4	296	296	1	16	200	99	96		19.19444
403	9	Fa4	F4	287	287	1	16	200	99	96		19.22222
404	9	Fa4	F4	287	287	1	8	400	99	96		19.27778
405	9	Sol4	G4	296	296	1	16	200	99	96		19.30556
406	9	La4b5	A4b5	300	300	1	16	200	95	96		19.33333
407	9	Si4b5	B4b5	309	309	1	8	400	95	96	re	19.38889
408	9	La4b5	A4b5	300	300	1	16	200	99	96	li	19.41667
409	9	Sol4	G4	296	296	1	16	200	95	96		19.44444
410	9	Sol4	G4	296	296	1	2	1600	95	96	dir  	19.66667
411	53			0	0	0	0	0	0	0		19.66667
412	54			0	0	0	0	0	0	0	ferahfeza@sol4	19.66667
413	9	La5	A5	358	358	1	8	400	95	96	SAZ	19.72222
414	9	Si5b5	B5b5	362	362	1	4	800	95	96	.	19.83333
415	9	La5	A5	358	358	1	8	400	95	96	.	19.88889
416	9	Re6	D6	380	380	1	8	400	95	96	.	19.94444
417	9	Do6	C6	371	371	1	16	200	95	96	.	19.97222
418	9	Si5b5	B5b5	362	362	1	16	200	95	96	.	20
419	9	Si5b5	B5b5	362	362	1	16	200	95	96	.	20.02778
420	9	Si5b5	B5b5	362	362	1	16	200	95	96	.	20.05556
421	9	La5	A5	358	358	1	16	200	95	96	.	20.08333
422	9	Sol5	G5	349	349	1	16	200	95	96	.	20.11111
423	9	Fa5	F5	340	340	1	16	200	95	96	.	20.13889
424	9	Sol5	G5	349	349	1	16	200	95	96	.	20.16667
425	9	La5	A5	358	358	1	16	200	95	96	.	20.19444
