Sıra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
305	9	Do5	C5	318	318	1	16	147	95	96	.	44.83333
306	9	Si4b2	B4b1	312	313	1	16	147	95	96	.	44.88889
307	9	La4	A4	305	305	1	16	147	95	96	.	44.94444
308	9	Si4b2	B4b1	312	313	1	16	147	95	96	.	45
309	9	Do5	C5	318	318	1	4	588	95	96	.	45.22222
310	9	Do5	C5	318	318	1	8	294	95	96	İn	45.33333
311	9	Do5	C5	318	318	1	8	294	95	96	san 	45.44444
312	9	Do5	C5	318	318	1	4	588	95	96	sev	45.66667
313	9	Do5	C5	318	318	1	4	588	99	96	di	45.88889
314	9	Re5b3	D5b4	324	323	1	8	294	95	96		46
315	9	Mi5	E5	336	336	1	8	294	99	96	ği	46.11111
316	9	Re5b3	D5b4	324	323	1	8	294	95	96		46.22222
317	9	Re5b3	D5b4	324	323	1	8	294	99	96	ne 	46.33333
318	9	Do5	C5	318	318	1	8	294	95	96		46.44444
319	9	Do5	C5	318	318	1	8	294	99	96	böy	46.55556
320	9	Re5b3	D5b4	324	323	1	8	294	95	96		46.66667
321	9	Do5	C5	318	318	1	4	588	99	96	le 	46.88889
322	9	Si4b2	B4b1	312	313	1	8	294	95	96		47
323	9			-1	-1	1	4	588	100	0		47.22222
324	9	Si4b2	B4b1	312	313	1	8	294	95	96	mi 	47.33333
325	9	Si4b2	B4b1	312	313	1	8	294	95	96	ya	47.44444
326	9	Re5b3	D5b4	324	323	1	4	588	99	96	nar  	47.66667
327	9	Do5	C5	318	318	1	4	588	99	96		47.88889
328	9	Si4b2	B4b1	312	313	1	8	294	95	96		48
329	53			0	0	0	0	0	0	0		48
330	9	Si4b2	B4b1	312	313	1	8	294	95	96	Sü	48.11111
331	9	Si4b2	B4b1	312	313	3	8	882	95	96	rü	48.44444
332	9	Re5b3	D5b4	324	323	1	4	588	95	96	den 	48.66667
333	9	Do5	C5	318	318	1	4	588	99	96	ay	48.88889
334	9	Si4b2	B4b1	312	313	1	8	294	95	96		49
335	9	Do5	C5	318	318	1	4	588	95	96	rı	49.22222
336	9	Si4b2	B4b1	312	313	1	8	294	95	96	lan 	49.33333
337	9	La4	A4	305	305	1	8	294	95	96		49.44444
338	9	La4	A4	305	305	1	8	294	99	96	sür	49.55556
339	9	Si4b2	B4b1	312	313	1	8	294	95	96		49.66667
340	9	Do5	C5	318	318	1	8	294	99	96	me	49.77778
341	9	Si4b2	B4b1	312	313	1	8	294	99	96		49.88889
342	9	Do5	C5	318	318	1	8	294	95	96		50
343	9	Si4b2	B4b1	312	313	1	8	294	95	96	li 	50.11111
344	9	La4	A4	305	305	3	8	882	95	96	ko	50.44444
345	9	Si4b2	B4b1	312	313	1	8	294	99	96	yun	50.55556
346	9	La4	A4	305	305	1	8	294	99	96		50.66667
347	9	Si4b2	B4b1	312	313	3	8	882	95	96		51
348	53			0	0	0	0	0	0	0		51
349	9	Si4b2	B4b1	312	313	1	8	294	95	96	Şa	51.11111
350	9	Si4b2	B4b1	312	313	3	8	882	95	96	fak	51.44444
351	9	Re5b3	D5b4	324	323	1	4	588	95	96	lar 	51.66667
352	9	Do5	C5	318	318	1	4	588	99	96	a	51.88889
353	9	Si4b2	B4b1	312	313	1	8	294	95	96		52
354	9	Do5	C5	318	318	1	4	588	95	96	tı	52.22222
355	9	Si4b2	B4b1	312	313	1	8	294	99	96	yor 	52.33333
356	9	La4	A4	305	305	1	8	294	95	96		52.44444
357	9	La4	A4	305	305	1	8	294	99	96	gel 	52.55556
358	9	Si4b2	B4b1	312	313	1	8	294	95	96		52.66667
359	9	Do5	C5	318	318	1	8	294	99	96	yâ	52.77778
360	9	Si4b2	B4b1	312	313	1	8	294	99	96		52.88889
361	9	Do5	C5	318	318	1	8	294	95	96		53
362	9	Si4b2	B4b1	312	313	1	8	294	95	96	rim_	53.11111
363	9	La4	A4	305	305	3	8	882	95	96	u	53.44444
364	9	La4	A4	305	305	1	4	588	95	96	yu 	53.66667
365	9			-1	-1	1	4	588	100	0		53.88889
366	9			-1	-1	1	8	294	100	0		54
367	53			0	0	0	0	0	0	0		54
368	9	Si4b2	B4b1	312	313	1	8	294	95	96	Sü	54.11111
369	9	Si4b2	B4b1	312	313	3	8	882	95	96	rü	54.44444
370	9	Re5b3	D5b4	324	323	1	4	588	95	96	den 	54.66667
371	9	Do5	C5	318	318	1	4	588	99	96	ay	54.88889
372	9	Si4b2	B4b1	312	313	1	8	294	95	96		55
373	9	Do5	C5	318	318	1	4	588	95	96	rı	55.22222
374	9	Si4b2	B4b1	312	313	1	8	294	95	96	lan 	55.33333
375	9	La4	A4	305	305	1	8	294	95	96		55.44444
376	9	La4	A4	305	305	1	8	294	99	96	sür	55.55556
377	9	Si4b2	B4b1	312	313	1	8	294	95	96		55.66667
378	9	Do5	C5	318	318	1	8	294	99	96	me	55.77778
379	9	Si4b2	B4b1	312	313	1	8	294	99	96		55.88889
380	9	Do5	C5	318	318	1	8	294	95	96		56
381	9	Si4b2	B4b1	312	313	1	8	294	95	96	li 	56.11111
382	9	La4	A4	305	305	3	8	882	95	96	ko	56.44444
383	9	Si4b2	B4b1	312	313	1	8	294	99	96	yun	56.55556
384	9	La4	A4	305	305	1	8	294	99	96		56.66667
385	9	Si4b2	B4b1	312	313	3	8	882	95	96		57
386	53			0	0	0	0	0	0	0		57
387	9	Si4b2	B4b1	312	313	1	8	294	95	96	Şa	57.11111
388	9	Si4b2	B4b1	312	313	3	8	882	95	96	fak	57.44444
389	9	Re5b3	D5b4	324	323	1	4	588	95	96	lar 	57.66667
390	9	Do5	C5	318	318	1	4	588	99	96	a	57.88889
391	9	Si4b2	B4b1	312	313	1	8	294	95	96		58
392	9	Do5	C5	318	318	1	4	588	95	96	tı	58.22222
393	9	Si4b2	B4b1	312	313	1	8	294	99	96	yor 	58.33333
394	9	La4	A4	305	305	1	8	294	95	96		58.44444
395	9	La4	A4	305	305	1	8	294	99	96	gel 	58.55556
396	9	Si4b2	B4b1	312	313	1	8	294	95	96		58.66667
397	9	Do5	C5	318	318	1	8	294	99	96	yâ	58.77778
398	9	Si4b2	B4b1	312	313	1	8	294	99	96		58.88889
399	9	Do5	C5	318	318	1	8	294	95	96		59
400	9	Si4b2	B4b1	312	313	1	8	294	95	96	rim_	59.11111
401	9	La4	A4	305	305	3	8	882	95	96	u	59.44444
402	9	La4	A4	305	305	1	4	588	95	96	yu 	59.66667
403	9			-1	-1	1	4	588	100	0		59.88889
404	9			-1	-1	1	8	294	100	0		60
405	53			0	0	0	0	0	0	0		60
